post_date,post_time,timezone,channel,content,image_url,link
2026-05-13,09:00,America/New_York,LinkedIn,"Every owner I talk to wants a 5.0 rating. Five round stars, nothing under.

Here's the part most of them haven't heard: customers don't trust 5.0.

Northwestern's Spiegel Center studied how shoppers actually behave on review pages. Conversion peaks somewhere between 4.2 and 4.7, then drops above that. A 5.0 with 30 reviews converts worse than a 4.6 with 30 reviews. Same volume, fewer customers calling.

Why? Because people have been on the internet long enough to know perfect doesn't happen. If everybody loved you, somebody's brother-in-law is writing reviews. They click past you.

The sweet spot is 4.6–4.8 with at least 25–50 reviews. Looks great, reads as real.

You don't need to chase perfect. You need to be visibly good — with enough reviews to prove it.

getmefound.ai",https://getmefound.ai/api/social-card/star-sweet-spot,https://getmefound.ai
2026-05-13,09:00,America/New_York,Facebook,"Customers don't trust a 5.0. They trust 4.6.

Northwestern research found conversion peaks at 4.2–4.7 and drops above that. A perfect rating reads as fake, no matter how clean your work is.

The sweet spot: 4.6–4.8 with at least 25–50 reviews. That's the rating range that says ""real business, mostly excellent, occasionally has a bad day.""

You don't need to be perfect. You need to be visibly good, consistently.",https://getmefound.ai/api/social-card/star-sweet-spot,https://getmefound.ai
2026-05-13,09:00,America/New_York,Instagram,"Customers don't trust 5.0 stars.

Research: conversion peaks at 4.6–4.8, then drops. Perfect rating = looks fake.

You don't need to chase perfect. You need to be visibly good.

#LocalBusiness #SmallBusinessTips #Reviews #LocalSEO #GoogleReviews #SmallBiz #LocalMarketing",https://getmefound.ai/api/social-card/star-sweet-spot,https://getmefound.ai
2026-05-13,09:00,America/New_York,X,"Customers don't trust 5.0. They trust 4.6.

Northwestern research: conversion peaks between 4.2 and 4.7, then drops.

A 5.0 with 30 reviews converts WORSE than a 4.6 with 30 reviews.

Stop chasing perfect.",https://getmefound.ai/api/social-card/star-sweet-spot,https://getmefound.ai
2026-05-20,09:00,America/New_York,LinkedIn,"$38,400 a year.

That's what a Harvard Business School study (Luca 2016, updated through 2024) suggests a local service business loses when its review velocity drifts and a competitor stays disciplined.

Take a typical local business: $480K annual revenue, 4.6 stars, 142 reviews. A competitor across town moves from 4.5 to 4.7 over six months. Their map rank rises, yours decays.

Roughly 8% of organic discovery shifts away from you.

8% of $480K = $38,400.

That's not the missing review you didn't get last week. It's the cumulative absence of every review you didn't collect over a multi-year window while a competitor did.

The gap doesn't close. It widens.

Want this run on your real numbers? Free calculator: getmefound.ai",https://getmefound.ai/api/social-card/cost-of-dormant-profile,https://getmefound.ai
2026-05-20,09:00,America/New_York,Facebook,"$38,400/year.

That's what one Harvard study suggests a local business loses when reviews go quiet and a competitor keeps asking. 8% of organic traffic shifts. That's the math.

The structural cost isn't the one review you missed. It's every review you didn't collect while a competitor did — compounding for years.",https://getmefound.ai/api/social-card/cost-of-dormant-profile,https://getmefound.ai
2026-05-20,09:00,America/New_York,Instagram,"$38,400/year.

That's the math on letting your reviews go stale while a competitor stays disciplined.

Not a fee. Not a marketing cost. Pure revenue walking out the door.

#LocalBusiness #GoogleReviews #SmallBiz #ReviewMarketing #LocalSEO #SmallBusinessOwner",https://getmefound.ai/api/social-card/cost-of-dormant-profile,https://getmefound.ai
2026-05-20,09:00,America/New_York,X,"$38,400/year.

That's roughly what a local business loses when reviews go quiet and a competitor stays disciplined.

Not a marketing expense. Pure revenue walking out.

Run the math: getmefound.ai",https://getmefound.ai/api/social-card/cost-of-dormant-profile,https://getmefound.ai
2026-05-27,09:00,America/New_York,LinkedIn,"A business with 60 reviews from the last 90 days outranks one with 200 reviews from five years ago. Same neighborhood, same service. The first one looks alive. The second one looks abandoned.

Google has never published the exact formula, but reviews from the last 90 days carry significantly more weight than older ones. Map rankings respond fast — sometimes within days — when a steady cadence of fresh reviews hits a profile.

Most owners I talk to have a beautiful 4.8 average with 187 reviews. Then I scroll down to the dates. The newest one is from eight months ago. The one before that, a year before that.

To Google's eye, that business has gone quiet. To a customer's eye, the same thing — they look at the dates and start wondering if you're still open.

You don't need a review every week. You need a cadence that says ""this business is operating."" 2–6 new reviews a month, spread out, from real recent customers.

That's the entire 90-day rule.",https://getmefound.ai/api/social-card/review-velocity-90-day,https://getmefound.ai
2026-05-27,09:00,America/New_York,Facebook,"60 fresh reviews beat 200 old ones.

Google weights review recency heavily — reviews from the last 90 days carry significantly more weight than older ones. A profile with the newest review from 2022 reads as dormant, no matter how high the star average.

Steady drip beats burst. 2–6 a month, every month.",https://getmefound.ai/api/social-card/review-velocity-90-day,https://getmefound.ai
2026-05-27,09:00,America/New_York,Instagram,"60 new > 200 old.

Google weights review freshness over total count. If your last review is from 2022, you look dormant — no matter how clean the star average.

The 90-day rule decides your rank.

#LocalSEO #GoogleReviews #SmallBusiness #LocalMarketing #ReviewStrategy",https://getmefound.ai/api/social-card/review-velocity-90-day,https://getmefound.ai
2026-05-27,09:00,America/New_York,X,"60 fresh reviews beat 200 old ones.

Google weights review freshness. If your last review is from 2022, your rank is decaying — no matter how clean your average.

2–6 new reviews a month, steady. That's the rule.",https://getmefound.ai/api/social-card/review-velocity-90-day,https://getmefound.ai
2026-06-03,09:00,America/New_York,LinkedIn,"For 20 years, local search worked one way. You optimized for Google, aimed for the first page, hoped customers clicked.

That's changing. A growing share of customers don't search Google at all anymore. They ask ChatGPT or Claude. They see Google's own AI summary at the top of the page.

The AI doesn't return ten links. It returns a recommendation — one to three businesses by name, with a sentence about each.

Here's where the math gets interesting:

A Google click is the start of a journey. The customer still has to scan your page, decide to call, and follow through. Local services convert that journey at 3–8% on average.

A ChatGPT recommendation is the end of the journey. The AI already endorsed you. Trust is transferred. The competitor scan is over.

Those conversions land closer to 18–30%.

A ChatGPT recommendation isn't traffic. It's a customer who's already most of the way to picking up the phone.

getmefound.ai",https://getmefound.ai/api/social-card/ai-recommendation-vs-rank,https://getmefound.ai
2026-06-03,09:00,America/New_York,Facebook,"A Google click is the start of a journey. A ChatGPT recommendation is the end of one.

When ChatGPT says ""I'd recommend Acme Plumbing — they're highly rated and handle emergencies"" — that's not traffic. That's a customer already most of the way to picking up the phone.

Conversion rates land 3–5× higher than Google clicks.",https://getmefound.ai/api/social-card/ai-recommendation-vs-rank,https://getmefound.ai
2026-06-03,09:00,America/New_York,Instagram,"Google rank #1 = clicks.

ChatGPT recommendation = the customer.

When AI names your business out loud, you skip the comparison. The competitor scan is over before it starts.

#AIVisibility #LocalSEO #ChatGPT #SmallBusiness #LocalBusiness #DigitalMarketing",https://getmefound.ai/api/social-card/ai-recommendation-vs-rank,https://getmefound.ai
2026-06-03,09:00,America/New_York,X,"Google rank #1 captures clicks.

ChatGPT recommendation captures the customer.

A click is the start of a journey (3–8% convert).
A name-by-name recommendation is the end of one (18–30%).

Different game.",https://getmefound.ai/api/social-card/ai-recommendation-vs-rank,https://getmefound.ai
2026-06-10,09:00,America/New_York,LinkedIn,"""Why am I paying you $49 a month when I can buy software that does the same thing for $30?""

It's a fair question. Here's the honest answer.

The $30 software works. The price is real. What's not advertised is the rest of the cost:

— 2–6 hours of setup
— Monthly maintenance (templates, sender info, troubleshooting)
— Actually triggering the requests (manual entry or POS sync that breaks)
— SMS carrier compliance paperwork

Six months in, most owners I see have spent $180 in software fees + 8 hours of their time, and added maybe 12 reviews — mostly in the first two months. Then it sits idle.

Done-for-you over the same six months: $294 in fees, 1 hour of your time total, 50–80 reviews steady throughout.

Cost per actual new review:
DIY: $15 (including your time at $50/hr)
Done-for-you: $5

The price difference is $19 a month. The work difference is roughly all of it.

Software gives you a tool. Done-for-you gives you the result.

getmefound.ai",https://getmefound.ai/api/social-card/diy-vs-dfy,https://getmefound.ai
2026-06-10,09:00,America/New_York,Facebook,"The $30 software isn't cheaper if nobody runs it.

Out of pocket on DIY: $180 in fees + 8 hours of your time over 6 months = ~12 reviews.

Done-for-you over the same 6 months: $294 in fees, 1 hour of your time, 50–80 reviews.

Cost per actual new review: $15 DIY vs $5 done-for-you.

You're not buying software. You're buying the result.",https://getmefound.ai/api/social-card/diy-vs-dfy,https://getmefound.ai
2026-06-10,09:00,America/New_York,Instagram,"$30 software vs $49 done-for-you.

Both real. The work difference is all of it.

DIY: $15 per review (including your time).
DFY: $5 per review.

Cheap isn't cheaper if nobody runs it.

#SmallBusinessOwner #LocalBusiness #ReviewMarketing #DoneForYou #SmallBiz",https://getmefound.ai/api/social-card/diy-vs-dfy,https://getmefound.ai
2026-06-10,09:00,America/New_York,X,"$30 software vs $49 done-for-you.

Cost per actual review:
DIY: $15 (incl. your time)
DFY: $5

Software gives you a tool. Done-for-you gives you the result.",https://getmefound.ai/api/social-card/diy-vs-dfy,https://getmefound.ai
2026-06-17,09:00,America/New_York,LinkedIn,"7:43pm. The phone rings.

You're home. The dog needs walking. The shop closed at 6.

You let it go to voicemail. Maybe you'll listen later. You don't.

That call was somebody who needed what you sell, right now, tonight. By the time you check voicemail at 8am, they've already called the next business on the list. The next one picked up.

Here's the math:

Most local businesses get 15–30 after-hours calls a week. 60–70% go to voicemail. Maybe 20% leave a real message. Maybe half of those still need what they called about by the time you call back.

You're catching about 1 in 10 after-hours calls. Nine in ten are gone before you knew they existed.

If one job is worth $300–$2,000, three missed jobs a month is $2,400+ walking out the door.

Run your own numbers in 30 seconds: getmefound.ai/#calculator

Relay, our 24/7 phone answering service, is $299/month — $99 your first month. Needs to catch one extra job to break even. That's a single service call.

In most local businesses I look at, that payback lands inside 30 days.

Relay → getmefound.ai/pricing#relay",https://getmefound.ai/api/social-card/after-hours-payback,https://getmefound.ai
2026-06-17,09:00,America/New_York,Facebook,"You catch about 1 in 10 after-hours calls. Nine in ten are gone before you knew they existed.

Most local businesses get 15–30 a week. 60–70% go to voicemail. Most customers won't leave one.

Run yours in 30 seconds: getmefound.ai/#calculator

Relay (our 24/7 phone answering service, $299/mo, first month $99) catches them. One extra job a month and it pays for itself. Most do in 30 days.

getmefound.ai/pricing#relay",https://getmefound.ai/api/social-card/after-hours-payback,https://getmefound.ai
2026-06-17,09:00,America/New_York,Instagram,"You catch 1 in 10 after-hours calls.

The other 9 went to your competitor.

Relay = 24/7 phone answering, $299/mo ($99 first month). Catches just ONE extra job a month and it pays for itself.

See your loss: getmefound.ai/#calculator

#LocalBusiness #SmallBusinessTips #AIReceptionist #HVAC #Plumbing #LocalServices",https://getmefound.ai/api/social-card/after-hours-payback,https://getmefound.ai
2026-06-17,09:00,America/New_York,X,"You catch 1 in 10 after-hours calls. The other 9 went to your competitor.

Relay = 24/7 phone answering, $299/mo. One extra job pays for it.

See your loss: getmefound.ai/#calculator",https://getmefound.ai/api/social-card/after-hours-payback,https://getmefound.ai
2026-06-24,09:00,America/New_York,LinkedIn,"About 1 in 4 local searches has moved to AI.

Not in two years. Right now. ChatGPT, Claude, Google's AI summary at the top of search results — they're already answering the high-intent questions.

""Best plumber in Hartford for an old house.""
""What's the best vet near me for a senior dog?""
""Recommend an auto shop that handles older Volvos.""

These used to scroll past ten blue links. Now the customer gets a paragraph with one to three business names and a recommendation. If you're not in that paragraph, you don't exist.

The share of AI-answered search is overweighted on the most valuable queries. The customer asking ChatGPT for a specific recommendation is way more likely to book than the customer browsing page two of Google.

Most local businesses are invisible there.

The fix isn't more Google ads. It's getting your business set up so AI tools can confidently recommend you. Clean profile. Consistent info everywhere. Fresh reviews. A few small AI-friendly bits on your site.

We handle the whole thing. getmefound.ai",https://getmefound.ai/api/social-card/ai-search-share,https://getmefound.ai
2026-06-24,09:00,America/New_York,Facebook,"Roughly 1 in 4 local searches has moved to AI.

ChatGPT, Claude, Google's AI summary — they answer with one to three business names instead of ten links. If you're not in that answer, you don't exist.

Most local businesses are invisible there. The fix isn't more ads. It's getting found by the AI.",https://getmefound.ai/api/social-card/ai-search-share,https://getmefound.ai
2026-06-24,09:00,America/New_York,Instagram,"1 in 4 local searches has moved to AI.

ChatGPT recommends 1–3 businesses by name. No list, no scrolling, no second chance.

If you're not the name AI says, you don't exist.

#AIVisibility #ChatGPT #LocalBusiness #LocalSEO #DigitalMarketing #AISearch",https://getmefound.ai/api/social-card/ai-search-share,https://getmefound.ai
2026-06-24,09:00,America/New_York,X,"1 in 4 local searches now happens on AI tools.

ChatGPT names 1–3 businesses by name. No list. No scroll. No second chance.

Most local businesses are invisible there. Right now.",https://getmefound.ai/api/social-card/ai-search-share,https://getmefound.ai
2026-07-01,09:00,America/New_York,LinkedIn,"Owner pulls up the dashboard of the marketing tool they're paying for. They log in. Look at me. Sigh.

""I bought this a year ago. I think it's supposed to send review requests? I haven't opened it in six months.""

This is the rule, not the exception.

Marketing software dashboards assume you're somebody who opens dashboards every day, enjoys configuring templates, notices when settings need adjusting. That's a job description. It describes a marketing manager.

It does NOT describe most local business owners. You're scheduling jobs, managing a team, fixing problems that come up at 4pm Friday. You're not pulling up a marketing dashboard Tuesday morning to tweak SMS send timing.

Done-for-you flips the model. Instead of ""here's a dashboard,"" it's ""we run this for you."" Instead of a monthly software fee plus your time, it's a monthly service fee — and you don't think about it.

Zero dashboards. Reviews still come in. Calls still get answered. AI visibility still gets handled.

You stay in your business. We run the rest.

getmefound.ai",https://getmefound.ai/api/social-card/software-vs-work,https://getmefound.ai
2026-07-01,09:00,America/New_York,Facebook,"The marketing tool you bought a year ago that you haven't opened in six months isn't a marketing tool anymore. It's a $79/month bill.

Software dashboards were designed for marketing managers. They don't describe local business owners. You don't have time to tweak SMS send timing on Tuesday morning.

Done-for-you = we run the work, not the tool. Zero dashboards.",https://getmefound.ai/api/social-card/software-vs-work,https://getmefound.ai
2026-07-01,09:00,America/New_York,Instagram,"The marketing tool you haven't opened in 6 months isn't a tool anymore.

It's a $79/month bill.

Done-for-you = zero dashboards. Zero tweaking. Just results.

#DoneForYou #SmallBusinessOwner #LocalBusiness #MarketingAutomation #SmallBiz",https://getmefound.ai/api/social-card/software-vs-work,https://getmefound.ai
2026-07-01,09:00,America/New_York,X,"That marketing tool you haven't opened in 6 months isn't a tool. It's a bill.

Software dashboards were built for marketing managers. Not for owners running a business.

Done-for-you = zero dashboards.",https://getmefound.ai/api/social-card/software-vs-work,https://getmefound.ai
2026-07-08,09:00,America/New_York,LinkedIn,"A new patient is worth somewhere between $1,500 and $3,500 to a dental practice in the first year. After that, if they stay, they're worth several hundred to a few thousand a year — for the next 10 to 20 years.

Most dentists already know this.

What they don't always realize is that the cheapest way to acquire that patient is the one most of them have stopped doing: asking for reviews.

Ads stop the moment you stop paying. The next patient costs another $400. No compounding.

A review left by a happy patient in 2026 is still in your Google profile in 2036. Still being read by prospective patients searching at midnight Tuesday. Still helping you rank for ""dentist near me.""

Reviews are a stock, not a flow. The review you collect today still pays you ten years from now.

Ads are a tax. Reviews are an investment.

getmefound.ai",https://getmefound.ai/api/social-card/reviews-compound,https://getmefound.ai
2026-07-08,09:00,America/New_York,Facebook,"Ads stop the day you stop paying.

A review left by a happy customer in 2026 is still in your Google profile in 2036 — still bringing in calls, free, with no ad spend.

Reviews are the only marketing asset that compounds. Ads are a tax. Reviews are an investment.",https://getmefound.ai/api/social-card/reviews-compound,https://getmefound.ai
2026-07-08,09:00,America/New_York,Instagram,"Ads stop when you stop paying.

A review left today still pays you in 2036.

Reviews are the only marketing asset that compounds.

#GoogleReviews #SmallBusiness #LocalBusiness #ReviewMarketing #LocalSEO",https://getmefound.ai/api/social-card/reviews-compound,https://getmefound.ai
2026-07-08,09:00,America/New_York,X,"Ads stop the day you stop paying.

A review you collect today still pays you in 2036.

Reviews are the only marketing asset that compounds.",https://getmefound.ai/api/social-card/reviews-compound,https://getmefound.ai
2026-07-15,09:00,America/New_York,LinkedIn,"Most HVAC and plumbing owners have paid for Yelp ads at some point. The pitch is compelling — appear at the top, beat the competition.

The reality:

— Yelp's local share is small. Most emergency searches happen on Google
— Cost per lead is $30–$80
— Leads aren't exclusive. The same emergency customer is calling four businesses
— Cancelling is painful. Yelp's contract structure has burned more than a few owners

Even when Yelp ads work, they stop the day you stop paying. You're renting visibility. Every month is a fresh bill for the same lead flow.

Reviews are the opposite. You ""pay"" once — by asking the customer at the end of the job. The review keeps pulling in calls for years. It also makes your Google profile rank above the businesses paying Yelp.

You don't need Yelp ads. You don't need to pay for leads. You need the ask to actually happen, every job, automatically.

getmefound.ai",https://getmefound.ai/api/social-card/trade-yelp-trap,https://getmefound.ai
2026-07-15,09:00,America/New_York,Facebook,"Yelp ads rent visibility. Reviews own it.

$30–$80 per lead, leads aren't exclusive, and the moment you stop paying, the calls stop.

A review you ""pay for"" by asking the customer once keeps pulling in calls for years — AND makes your Google profile rank above the businesses paying Yelp.",https://getmefound.ai/api/social-card/trade-yelp-trap,https://getmefound.ai
2026-07-15,09:00,America/New_York,Instagram,"Yelp ads rent visibility.

Reviews own it.

$30–$80/lead vs ask once and it pays for years.

#HVAC #Plumbing #LocalServices #SmallBusiness #LocalSEO #Trades",https://getmefound.ai/api/social-card/trade-yelp-trap,https://getmefound.ai
2026-07-15,09:00,America/New_York,X,"Yelp ads rent visibility. Reviews own it.

$30–$80/lead, non-exclusive, dies the day you stop paying.

Reviews: ask once, paid forever, and outrank Yelp.",https://getmefound.ai/api/social-card/trade-yelp-trap,https://getmefound.ai
2026-07-22,09:00,America/New_York,LinkedIn,"A woman in her thirties is on her phone Tuesday night. She's been thinking about Botox for six months. She finally decided this is the week.

She taps your med spa first. Star rating looks fine. But the most recent review is from eight months ago. She scrolls. The one before that is from a year and a half ago.

She backs out.

She taps the second one. 4.8 stars, 73 reviews, most recent from last week. She reads three of them. She books.

That was a $400 first appointment, the start of a $2,000-per-year client. Lost in 90 seconds, before you knew she existed.

One missed review is doing more damage than it looks. That review would have:

1. Pushed your most-recent-review date forward
2. Gotten you past whatever review-count threshold mattered for the next 10 customers
3. Added one specific, story-shaped review that built trust
4. Boosted your map rank

Stack the math. One missing review = roughly four lost bookings.

getmefound.ai",https://getmefound.ai/api/social-card/med-spa-math,https://getmefound.ai
2026-07-22,09:00,America/New_York,Facebook,"She wanted Botox. She picked your med spa first.

But your most recent review was from eight months ago. She backed out. Tapped the next one. Booked.

That was $400 first appointment + $2,000/year. Lost in 90 seconds.

One missing review = roughly four lost bookings. The math compounds.",https://getmefound.ai/api/social-card/med-spa-math,https://getmefound.ai
2026-07-22,09:00,America/New_York,Instagram,"She wanted Botox.

She picked your profile first.

Last review: 8 months ago. She backed out. Booked next door.

One missed review = four lost bookings.

#MedSpa #MedSpaMarketing #Botox #LocalBusiness #ReviewMarketing #SmallBiz",https://getmefound.ai/api/social-card/med-spa-math,https://getmefound.ai
2026-07-22,09:00,America/New_York,X,"A first-time Botox client = $400 visit + ~$2,000/yr.

She picks you first. Last review is 8 months old. She backs out. Books next door.

One missed review = roughly four lost bookings.",https://getmefound.ai/api/social-card/med-spa-math,https://getmefound.ai
2026-07-29,09:00,America/New_York,LinkedIn,"If you've groomed dogs for any length of time, you already know something other industries don't: your customers aren't buying a haircut. They're handing you their family member for an hour and trusting you not to traumatize them.

That trust doesn't come from your prices, your website, or your years in business. It comes from other pet parents saying ""she was so good with my dog, he actually loves going now.""

Pet parents read for empathy. Generic 5-star reviews don't move the needle nearly as much as one specific story does.

The number of reviews matters too — most pet parents won't book under 20 reviews. But after that, what the reviews SAY matters more than how many.

Best way to get the right kind of reviews:

Ask at pickup, when the dog looks great. The customer is happy, the dog is happy, they have 30 seconds of post-grooming joy. Hand them their phone with the review form open. ""If you have a second — it means everything to us.""

That's it. Don't say ""five stars please."" Don't offer a discount.

A pickup ask converts at 30–50%. A two-day-later text converts at 5–10%. Timing is everything.

getmefound.ai",https://getmefound.ai/api/social-card/groomer-trust,https://getmefound.ai
2026-07-29,09:00,America/New_York,Facebook,"Pet parents don't book under 20 reviews. After that, what the reviews SAY matters most.

Generic 5-star reviews don't move the needle. Stories do.

Best way to get them: ask at pickup, while the dog still looks great. 30 seconds. One tap. The customer is glowing. So is the dog.",https://getmefound.ai/api/social-card/groomer-trust,https://getmefound.ai
2026-07-29,09:00,America/New_York,Instagram,"Pet parents don't book under 20 reviews.

After that, what the reviews SAY matters most.

Stories beat generic 5-stars. Always.

#PetGrooming #DogGrooming #PetBusiness #SmallBusinessOwner #LocalBusiness",https://getmefound.ai/api/social-card/groomer-trust,https://getmefound.ai
2026-07-29,09:00,America/New_York,X,"Pet parents don't book under 20 reviews.

After that, what the reviews SAY matters more than how many.

Stories beat generic 5-stars. Every time.",https://getmefound.ai/api/social-card/groomer-trust,https://getmefound.ai
